ID,Titre,Plateforme,Objectif,Portee,Engagement,Partages,Commentaires,Messages,RDV,Score Engagement,Score Portee,Score Conversion,Score RDV,Score Global,Note,Recommandation
1,5 signes que vos lunettes ne sont plus adaptées,Instagram,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F2+G2+H2)/MAX(E2,1))*100,1),0)","=IFERROR(ROUND((E2/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I2/MAX(E2,1))*100,1),0)","=IFERROR(ROUND((J2/MAX(I2,1))*100,1),0)","=ROUND(K2*0.3+L2*0.2+M2*0.25+N2*0.25,1)","=IFS(O2>=80,""A"",O2>=60,""B"",O2>=40,""C"",O2>=20,""D"",TRUE,""E"")","=IFS(P2=""A"",""À reproduire"",OR(P2=""B"",P2=""C""),""À optimiser"",TRUE,""À abandonner"")"
2,Réservez votre bilan de vue en 2 clics sur WhatsApp,Facebook,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F3+G3+H3)/MAX(E3,1))*100,1),0)","=IFERROR(ROUND((E3/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I3/MAX(E3,1))*100,1),0)","=IFERROR(ROUND((J3/MAX(I3,1))*100,1),0)","=ROUND(K3*0.3+L3*0.2+M3*0.25+N3*0.25,1)","=IFS(O3>=80,""A"",O3>=60,""B"",O3>=40,""C"",O3>=20,""D"",TRUE,""E"")","=IFS(P3=""A"",""À reproduire"",OR(P3=""B"",P3=""C""),""À optimiser"",TRUE,""À abandonner"")"
3,Comment choisir une monture selon la forme de son visage,Facebook,Vente,,,,,,,"=IFERROR(ROUND(((F4+G4+H4)/MAX(E4,1))*100,1),0)","=IFERROR(ROUND((E4/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I4/MAX(E4,1))*100,1),0)","=IFERROR(ROUND((J4/MAX(I4,1))*100,1),0)","=ROUND(K4*0.3+L4*0.2+M4*0.25+N4*0.25,1)","=IFS(O4>=80,""A"",O4>=60,""B"",O4>=40,""C"",O4>=20,""D"",TRUE,""E"")","=IFS(P4=""A"",""À reproduire"",OR(P4=""B"",P4=""C""),""À optimiser"",TRUE,""À abandonner"")"
4,"Témoignage : « Avec mes progressifs, je revis »",Facebook,Confiance/Conversion,,,,,,,"=IFERROR(ROUND(((F5+G5+H5)/MAX(E5,1))*100,1),0)","=IFERROR(ROUND((E5/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I5/MAX(E5,1))*100,1),0)","=IFERROR(ROUND((J5/MAX(I5,1))*100,1),0)","=ROUND(K5*0.3+L5*0.2+M5*0.25+N5*0.25,1)","=IFS(O5>=80,""A"",O5>=60,""B"",O5>=40,""C"",O5>=20,""D"",TRUE,""E"")","=IFS(P5=""A"",""À reproduire"",OR(P5=""B"",P5=""C""),""À optimiser"",TRUE,""À abandonner"")"
5,Fiers d'être votre opticien à Yopougon,Facebook,Notoriété locale,,,,,,,"=IFERROR(ROUND(((F6+G6+H6)/MAX(E6,1))*100,1),0)","=IFERROR(ROUND((E6/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I6/MAX(E6,1))*100,1),0)","=IFERROR(ROUND((J6/MAX(I6,1))*100,1),0)","=ROUND(K6*0.3+L6*0.2+M6*0.25+N6*0.25,1)","=IFS(O6>=80,""A"",O6>=60,""B"",O6>=40,""C"",O6>=20,""D"",TRUE,""E"")","=IFS(P6=""A"",""À reproduire"",OR(P6=""B"",P6=""C""),""À optimiser"",TRUE,""À abandonner"")"
6,Dans les coulisses : comment se déroule un bilan de vue,Facebook,Expertise/B2B,,,,,,,"=IFERROR(ROUND(((F7+G7+H7)/MAX(E7,1))*100,1),0)","=IFERROR(ROUND((E7/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I7/MAX(E7,1))*100,1),0)","=IFERROR(ROUND((J7/MAX(I7,1))*100,1),0)","=ROUND(K7*0.3+L7*0.2+M7*0.25+N7*0.25,1)","=IFS(O7>=80,""A"",O7>=60,""B"",O7>=40,""C"",O7>=20,""D"",TRUE,""E"")","=IFS(P7=""A"",""À reproduire"",OR(P7=""B"",P7=""C""),""À optimiser"",TRUE,""À abandonner"")"
7,Pourquoi vous avez mal à la tête devant l'écran,Facebook,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F8+G8+H8)/MAX(E8,1))*100,1),0)","=IFERROR(ROUND((E8/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I8/MAX(E8,1))*100,1),0)","=IFERROR(ROUND((J8/MAX(I8,1))*100,1),0)","=ROUND(K8*0.3+L8*0.2+M8*0.25+N8*0.25,1)","=IFS(O8>=80,""A"",O8>=60,""B"",O8>=40,""C"",O8>=20,""D"",TRUE,""E"")","=IFS(P8=""A"",""À reproduire"",OR(P8=""B"",P8=""C""),""À optimiser"",TRUE,""À abandonner"")"
8,Cette semaine : prenez RDV pour votre consultation visuelle,Facebook,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F9+G9+H9)/MAX(E9,1))*100,1),0)","=IFERROR(ROUND((E9/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I9/MAX(E9,1))*100,1),0)","=IFERROR(ROUND((J9/MAX(I9,1))*100,1),0)","=ROUND(K9*0.3+L9*0.2+M9*0.25+N9*0.25,1)","=IFS(O9>=80,""A"",O9>=60,""B"",O9>=40,""C"",O9>=20,""D"",TRUE,""E"")","=IFS(P9=""A"",""À reproduire"",OR(P9=""B"",P9=""C""),""À optimiser"",TRUE,""À abandonner"")"
9,Nouvelle collection : les montures tendance de la saison,Facebook,Vente,,,,,,,"=IFERROR(ROUND(((F10+G10+H10)/MAX(E10,1))*100,1),0)","=IFERROR(ROUND((E10/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I10/MAX(E10,1))*100,1),0)","=IFERROR(ROUND((J10/MAX(I10,1))*100,1),0)","=ROUND(K10*0.3+L10*0.2+M10*0.25+N10*0.25,1)","=IFS(O10>=80,""A"",O10>=60,""B"",O10>=40,""C"",O10>=20,""D"",TRUE,""E"")","=IFS(P10=""A"",""À reproduire"",OR(P10=""B"",P10=""C""),""À optimiser"",TRUE,""À abandonner"")"
10,Avant / après : le confort d'une vraie correction,Facebook,Confiance/Conversion,,,,,,,"=IFERROR(ROUND(((F11+G11+H11)/MAX(E11,1))*100,1),0)","=IFERROR(ROUND((E11/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I11/MAX(E11,1))*100,1),0)","=IFERROR(ROUND((J11/MAX(I11,1))*100,1),0)","=ROUND(K11*0.3+L11*0.2+M11*0.25+N11*0.25,1)","=IFS(O11>=80,""A"",O11>=60,""B"",O11>=40,""C"",O11>=20,""D"",TRUE,""E"")","=IFS(P11=""A"",""À reproduire"",OR(P11=""B"",P11=""C""),""À optimiser"",TRUE,""À abandonner"")"
11,Rentrée scolaire à Yopougon : pensez aux yeux des enfants,Facebook,Notoriété locale,,,,,,,"=IFERROR(ROUND(((F12+G12+H12)/MAX(E12,1))*100,1),0)","=IFERROR(ROUND((E12/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I12/MAX(E12,1))*100,1),0)","=IFERROR(ROUND((J12/MAX(I12,1))*100,1),0)","=ROUND(K12*0.3+L12*0.2+M12*0.25+N12*0.25,1)","=IFS(O12>=80,""A"",O12>=60,""B"",O12>=40,""C"",O12>=20,""D"",TRUE,""E"")","=IFS(P12=""A"",""À reproduire"",OR(P12=""B"",P12=""C""),""À optimiser"",TRUE,""À abandonner"")"
12,La technologie qui mesure votre vue avec précision,Facebook,Expertise/B2B,,,,,,,"=IFERROR(ROUND(((F13+G13+H13)/MAX(E13,1))*100,1),0)","=IFERROR(ROUND((E13/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I13/MAX(E13,1))*100,1),0)","=IFERROR(ROUND((J13/MAX(I13,1))*100,1),0)","=ROUND(K13*0.3+L13*0.2+M13*0.25+N13*0.25,1)","=IFS(O13>=80,""A"",O13>=60,""B"",O13>=40,""C"",O13>=20,""D"",TRUE,""E"")","=IFS(P13=""A"",""À reproduire"",OR(P13=""B"",P13=""C""),""À optimiser"",TRUE,""À abandonner"")"
13,Vos yeux sont secs ? Voici pourquoi,Instagram,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F14+G14+H14)/MAX(E14,1))*100,1),0)","=IFERROR(ROUND((E14/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I14/MAX(E14,1))*100,1),0)","=IFERROR(ROUND((J14/MAX(I14,1))*100,1),0)","=ROUND(K14*0.3+L14*0.2+M14*0.25+N14*0.25,1)","=IFS(O14>=80,""A"",O14>=60,""B"",O14>=40,""C"",O14>=20,""D"",TRUE,""E"")","=IFS(P14=""A"",""À reproduire"",OR(P14=""B"",P14=""C""),""À optimiser"",TRUE,""À abandonner"")"
14,Offre rentrée : pensez à la vue de vos enfants,Facebook,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F15+G15+H15)/MAX(E15,1))*100,1),0)","=IFERROR(ROUND((E15/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I15/MAX(E15,1))*100,1),0)","=IFERROR(ROUND((J15/MAX(I15,1))*100,1),0)","=ROUND(K15*0.3+L15*0.2+M15*0.25+N15*0.25,1)","=IFS(O15>=80,""A"",O15>=60,""B"",O15>=40,""C"",O15>=20,""D"",TRUE,""E"")","=IFS(P15=""A"",""À reproduire"",OR(P15=""B"",P15=""C""),""À optimiser"",TRUE,""À abandonner"")"
15,Verres progressifs : voir de près et de loin sans changer de lunettes,Facebook,Vente,,,,,,,"=IFERROR(ROUND(((F16+G16+H16)/MAX(E16,1))*100,1),0)","=IFERROR(ROUND((E16/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I16/MAX(E16,1))*100,1),0)","=IFERROR(ROUND((J16/MAX(I16,1))*100,1),0)","=ROUND(K16*0.3+L16*0.2+M16*0.25+N16*0.25,1)","=IFS(O16>=80,""A"",O16>=60,""B"",O16>=40,""C"",O16>=20,""D"",TRUE,""E"")","=IFS(P16=""A"",""À reproduire"",OR(P16=""B"",P16=""C""),""À optimiser"",TRUE,""À abandonner"")"
16,Portrait : rencontrez votre opticien à La Grande Vision,Facebook,Confiance/Conversion,,,,,,,"=IFERROR(ROUND(((F17+G17+H17)/MAX(E17,1))*100,1),0)","=IFERROR(ROUND((E17/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I17/MAX(E17,1))*100,1),0)","=IFERROR(ROUND((J17/MAX(I17,1))*100,1),0)","=ROUND(K17*0.3+L17*0.2+M17*0.25+N17*0.25,1)","=IFS(O17>=80,""A"",O17>=60,""B"",O17>=40,""C"",O17>=20,""D"",TRUE,""E"")","=IFS(P17=""A"",""À reproduire"",OR(P17=""B"",P17=""C""),""À optimiser"",TRUE,""À abandonner"")"
17,La Grande Vision au cœur de votre quartier,Facebook,Notoriété locale,,,,,,,"=IFERROR(ROUND(((F18+G18+H18)/MAX(E18,1))*100,1),0)","=IFERROR(ROUND((E18/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I18/MAX(E18,1))*100,1),0)","=IFERROR(ROUND((J18/MAX(I18,1))*100,1),0)","=ROUND(K18*0.3+L18*0.2+M18*0.25+N18*0.25,1)","=IFS(O18>=80,""A"",O18>=60,""B"",O18>=40,""C"",O18>=20,""D"",TRUE,""E"")","=IFS(P18=""A"",""À reproduire"",OR(P18=""B"",P18=""C""),""À optimiser"",TRUE,""À abandonner"")"
18,La lumière bleue : mythe ou vrai danger ?,TikTok,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F19+G19+H19)/MAX(E19,1))*100,1),0)","=IFERROR(ROUND((E19/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I19/MAX(E19,1))*100,1),0)","=IFERROR(ROUND((J19/MAX(I19,1))*100,1),0)","=ROUND(K19*0.3+L19*0.2+M19*0.25+N19*0.25,1)","=IFS(O19>=80,""A"",O19>=60,""B"",O19>=40,""C"",O19>=20,""D"",TRUE,""E"")","=IFS(P19=""A"",""À reproduire"",OR(P19=""B"",P19=""C""),""À optimiser"",TRUE,""À abandonner"")"
19,Besoin de nouvelles lunettes ? Écrivez-nous sur WhatsApp,WhatsApp Business,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F20+G20+H20)/MAX(E20,1))*100,1),0)","=IFERROR(ROUND((E20/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I20/MAX(E20,1))*100,1),0)","=IFERROR(ROUND((J20/MAX(I20,1))*100,1),0)","=ROUND(K20*0.3+L20*0.2+M20*0.25+N20*0.25,1)","=IFS(O20>=80,""A"",O20>=60,""B"",O20>=40,""C"",O20>=20,""D"",TRUE,""E"")","=IFS(P20=""A"",""À reproduire"",OR(P20=""B"",P20=""C""),""À optimiser"",TRUE,""À abandonner"")"
20,"Les verres anti-lumière bleue, pour qui ?",TikTok,Vente,,,,,,,"=IFERROR(ROUND(((F21+G21+H21)/MAX(E21,1))*100,1),0)","=IFERROR(ROUND((E21/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I21/MAX(E21,1))*100,1),0)","=IFERROR(ROUND((J21/MAX(I21,1))*100,1),0)","=ROUND(K21*0.3+L21*0.2+M21*0.25+N21*0.25,1)","=IFS(O21>=80,""A"",O21>=60,""B"",O21>=40,""C"",O21>=20,""D"",TRUE,""E"")","=IFS(P21=""A"",""À reproduire"",OR(P21=""B"",P21=""C""),""À optimiser"",TRUE,""À abandonner"")"
21,Ils nous ont fait confiance : merci à nos clients de Yopougon,LinkedIn,Confiance/Conversion,,,,,,,"=IFERROR(ROUND(((F22+G22+H22)/MAX(E22,1))*100,1),0)","=IFERROR(ROUND((E22/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I22/MAX(E22,1))*100,1),0)","=IFERROR(ROUND((J22/MAX(I22,1))*100,1),0)","=ROUND(K22*0.3+L22*0.2+M22*0.25+N22*0.25,1)","=IFS(O22>=80,""A"",O22>=60,""B"",O22>=40,""C"",O22>=20,""D"",TRUE,""E"")","=IFS(P22=""A"",""À reproduire"",OR(P22=""B"",P22=""C""),""À optimiser"",TRUE,""À abandonner"")"
22,À quel âge faire le premier bilan de vue de son enfant,TikTok,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F23+G23+H23)/MAX(E23,1))*100,1),0)","=IFERROR(ROUND((E23/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I23/MAX(E23,1))*100,1),0)","=IFERROR(ROUND((J23/MAX(I23,1))*100,1),0)","=ROUND(K23*0.3+L23*0.2+M23*0.25+N23*0.25,1)","=IFS(O23>=80,""A"",O23>=60,""B"",O23>=40,""C"",O23>=20,""D"",TRUE,""E"")","=IFS(P23=""A"",""À reproduire"",OR(P23=""B"",P23=""C""),""À optimiser"",TRUE,""À abandonner"")"
23,Forfait verres progressifs : confort et clarté,Facebook,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F24+G24+H24)/MAX(E24,1))*100,1),0)","=IFERROR(ROUND((E24/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I24/MAX(E24,1))*100,1),0)","=IFERROR(ROUND((J24/MAX(I24,1))*100,1),0)","=ROUND(K24*0.3+L24*0.2+M24*0.25+N24*0.25,1)","=IFS(O24>=80,""A"",O24>=60,""B"",O24>=40,""C"",O24>=20,""D"",TRUE,""E"")","=IFS(P24=""A"",""À reproduire"",OR(P24=""B"",P24=""C""),""À optimiser"",TRUE,""À abandonner"")"
24,Montures fines vs épaisses : laquelle pour vous,Facebook,Vente,,,,,,,"=IFERROR(ROUND(((F25+G25+H25)/MAX(E25,1))*100,1),0)","=IFERROR(ROUND((E25/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I25/MAX(E25,1))*100,1),0)","=IFERROR(ROUND((J25/MAX(I25,1))*100,1),0)","=ROUND(K25*0.3+L25*0.2+M25*0.25+N25*0.25,1)","=IFS(O25>=80,""A"",O25>=60,""B"",O25>=40,""C"",O25>=20,""D"",TRUE,""E"")","=IFS(P25=""A"",""À reproduire"",OR(P25=""B"",P25=""C""),""À optimiser"",TRUE,""À abandonner"")"
25,Témoignage d'une maman : le dépistage qui a sauvé l'année scolaire,Facebook,Confiance/Conversion,,,,,,,"=IFERROR(ROUND(((F26+G26+H26)/MAX(E26,1))*100,1),0)","=IFERROR(ROUND((E26/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I26/MAX(E26,1))*100,1),0)","=IFERROR(ROUND((J26/MAX(I26,1))*100,1),0)","=ROUND(K26*0.3+L26*0.2+M26*0.25+N26*0.25,1)","=IFS(O26>=80,""A"",O26>=60,""B"",O26>=40,""C"",O26>=20,""D"",TRUE,""E"")","=IFS(P26=""A"",""À reproduire"",OR(P26=""B"",P26=""C""),""À optimiser"",TRUE,""À abandonner"")"
26,Bonne fête à toutes les mamans de Yopougon,Instagram,Notoriété locale,,,,,,,"=IFERROR(ROUND(((F27+G27+H27)/MAX(E27,1))*100,1),0)","=IFERROR(ROUND((E27/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I27/MAX(E27,1))*100,1),0)","=IFERROR(ROUND((J27/MAX(I27,1))*100,1),0)","=ROUND(K27*0.3+L27*0.2+M27*0.25+N27*0.25,1)","=IFS(O27>=80,""A"",O27>=60,""B"",O27>=40,""C"",O27>=20,""D"",TRUE,""E"")","=IFS(P27=""A"",""À reproduire"",OR(P27=""B"",P27=""C""),""À optimiser"",TRUE,""À abandonner"")"
27,Votre enfant plisse les yeux : faut-il s'inquiéter ?,Facebook,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F28+G28+H28)/MAX(E28,1))*100,1),0)","=IFERROR(ROUND((E28/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I28/MAX(E28,1))*100,1),0)","=IFERROR(ROUND((J28/MAX(I28,1))*100,1),0)","=ROUND(K28*0.3+L28*0.2+M28*0.25+N28*0.25,1)","=IFS(O28>=80,""A"",O28>=60,""B"",O28>=40,""C"",O28>=20,""D"",TRUE,""E"")","=IFS(P28=""A"",""À reproduire"",OR(P28=""B"",P28=""C""),""À optimiser"",TRUE,""À abandonner"")"
28,Dépistage : et si vous faisiez vérifier votre vue ?,WhatsApp Business,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F29+G29+H29)/MAX(E29,1))*100,1),0)","=IFERROR(ROUND((E29/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I29/MAX(E29,1))*100,1),0)","=IFERROR(ROUND((J29/MAX(I29,1))*100,1),0)","=ROUND(K29*0.3+L29*0.2+M29*0.25+N29*0.25,1)","=IFS(O29>=80,""A"",O29>=60,""B"",O29>=40,""C"",O29>=20,""D"",TRUE,""E"")","=IFS(P29=""A"",""À reproduire"",OR(P29=""B"",P29=""C""),""À optimiser"",TRUE,""À abandonner"")"
29,Verres amincis : légèreté et confort au quotidien,TikTok,Vente,,,,,,,"=IFERROR(ROUND(((F30+G30+H30)/MAX(E30,1))*100,1),0)","=IFERROR(ROUND((E30/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I30/MAX(E30,1))*100,1),0)","=IFERROR(ROUND((J30/MAX(I30,1))*100,1),0)","=ROUND(K30*0.3+L30*0.2+M30*0.25+N30*0.25,1)","=IFS(O30>=80,""A"",O30>=60,""B"",O30>=40,""C"",O30>=20,""D"",TRUE,""E"")","=IFS(P30=""A"",""À reproduire"",OR(P30=""B"",P30=""C""),""À optimiser"",TRUE,""À abandonner"")"
30,Offre entreprise : la santé visuelle de vos salariés,Facebook,Expertise/B2B,,,,,,,"=IFERROR(ROUND(((F31+G31+H31)/MAX(E31,1))*100,1),0)","=IFERROR(ROUND((E31/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I31/MAX(E31,1))*100,1),0)","=IFERROR(ROUND((J31/MAX(I31,1))*100,1),0)","=ROUND(K31*0.3+L31*0.2+M31*0.25+N31*0.25,1)","=IFS(O31>=80,""A"",O31>=60,""B"",O31>=40,""C"",O31>=20,""D"",TRUE,""E"")","=IFS(P31=""A"",""À reproduire"",OR(P31=""B"",P31=""C""),""À optimiser"",TRUE,""À abandonner"")"
31,Pourquoi vous voyez flou le soir,Facebook,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F32+G32+H32)/MAX(E32,1))*100,1),0)","=IFERROR(ROUND((E32/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I32/MAX(E32,1))*100,1),0)","=IFERROR(ROUND((J32/MAX(I32,1))*100,1),0)","=ROUND(K32*0.3+L32*0.2+M32*0.25+N32*0.25,1)","=IFS(O32>=80,""A"",O32>=60,""B"",O32>=40,""C"",O32>=20,""D"",TRUE,""E"")","=IFS(P32=""A"",""À reproduire"",OR(P32=""B"",P32=""C""),""À optimiser"",TRUE,""À abandonner"")"
32,RDV express : votre bilan sans attendre,Facebook,RDV/Vente,,,,,,,"=IFERROR(ROUND(((F33+G33+H33)/MAX(E33,1))*100,1),0)","=IFERROR(ROUND((E33/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I33/MAX(E33,1))*100,1),0)","=IFERROR(ROUND((J33/MAX(I33,1))*100,1),0)","=ROUND(K33*0.3+L33*0.2+M33*0.25+N33*0.25,1)","=IFS(O33>=80,""A"",O33>=60,""B"",O33>=40,""C"",O33>=20,""D"",TRUE,""E"")","=IFS(P33=""A"",""À reproduire"",OR(P33=""B"",P33=""C""),""À optimiser"",TRUE,""À abandonner"")"
33,Lunettes de soleil à votre vue : style et protection,Facebook,Vente,,,,,,,"=IFERROR(ROUND(((F34+G34+H34)/MAX(E34,1))*100,1),0)","=IFERROR(ROUND((E34/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I34/MAX(E34,1))*100,1),0)","=IFERROR(ROUND((J34/MAX(I34,1))*100,1),0)","=ROUND(K34*0.3+L34*0.2+M34*0.25+N34*0.25,1)","=IFS(O34>=80,""A"",O34>=60,""B"",O34>=40,""C"",O34>=20,""D"",TRUE,""E"")","=IFS(P34=""A"",""À reproduire"",OR(P34=""B"",P34=""C""),""À optimiser"",TRUE,""À abandonner"")"
34,Un client raconte sa première paire chez nous,Facebook,Confiance/Conversion,,,,,,,"=IFERROR(ROUND(((F35+G35+H35)/MAX(E35,1))*100,1),0)","=IFERROR(ROUND((E35/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I35/MAX(E35,1))*100,1),0)","=IFERROR(ROUND((J35/MAX(I35,1))*100,1),0)","=ROUND(K35*0.3+L35*0.2+M35*0.25+N35*0.25,1)","=IFS(O35>=80,""A"",O35>=60,""B"",O35>=40,""C"",O35>=20,""D"",TRUE,""E"")","=IFS(P35=""A"",""À reproduire"",OR(P35=""B"",P35=""C""),""À optimiser"",TRUE,""À abandonner"")"
35,"Yopougon, on prend soin de votre vue",Facebook,Notoriété locale,,,,,,,"=IFERROR(ROUND(((F36+G36+H36)/MAX(E36,1))*100,1),0)","=IFERROR(ROUND((E36/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I36/MAX(E36,1))*100,1),0)","=IFERROR(ROUND((J36/MAX(I36,1))*100,1),0)","=ROUND(K36*0.3+L36*0.2+M36*0.25+N36*0.25,1)","=IFS(O36>=80,""A"",O36>=60,""B"",O36>=40,""C"",O36>=20,""D"",TRUE,""E"")","=IFS(P36=""A"",""À reproduire"",OR(P36=""B"",P36=""C""),""À optimiser"",TRUE,""À abandonner"")"
36,Vision de près qui baisse après 40 ans : la presbytie expliquée,LinkedIn,Notoriété/Expertise,,,,,,,"=IFERROR(ROUND(((F37+G37+H37)/MAX(E37,1))*100,1),0)","=IFERROR(ROUND((E37/MAX(MAX($E$2:$E$181),1))*100,1),0)","=IFERROR(ROUND((I37/MAX(E37,1))*100,1),0)","=IFERROR(ROUND((J37/MAX(I37,1))*100,1),0)","=ROUND(K37*0.3+L37*0.2+M37*0.25+N37*0.25,1)","=IFS(O37>=80,""A"",O37>=60,""B"",O37>=40,""C"",O37>=20,""D"",TRUE,""E"")","=IFS(P37=""A"",""À reproduire"",OR(P37=""B"",P37=""C""),""À optimiser"",TRUE,""À abandonner"")"
